pitch_mm,phantom,method,true_mean_mm,n,invalid_fraction,bias_mm,mae_mm,rmse_mm,p95_abs_err_mm,runtime_s
1.0,Concentric sphere,Laplace field,8.0,2562,0.0,0.135,0.285,0.363,0.75,0.3
1.0,Concentric sphere,Yezzi-Prince,8.0,2562,0.0,0.616,0.616,0.637,0.986,0.48
1.0,Concentric sphere,SDF cone rays,8.0,2562,0.0,0.835,0.835,0.835,0.839,1.36
1.0,Concentric sphere,EDT boundary sum,8.0,2562,0.0,0.59,0.59,0.622,0.964,0.08
1.0,Concentric cylinder,Laplace field,7.0,192,0.0,1.773,1.773,1.817,2.5,0.12
1.0,Concentric cylinder,Yezzi-Prince,7.0,192,0.0,1.846,1.846,1.852,2.014,0.51
1.0,Concentric cylinder,SDF cone rays,7.0,192,0.0,1.305,1.305,1.313,1.487,0.07
1.0,Concentric cylinder,EDT boundary sum,7.0,192,0.0,1.257,1.257,1.268,1.414,0.08
1.0,Ellipsoidal shell,Laplace field,9.0,2562,0.0,0.136,0.283,0.352,0.625,0.36
1.0,Ellipsoidal shell,Yezzi-Prince,9.0,2562,0.0,0.629,0.629,0.652,1.0,1.0
1.0,Ellipsoidal shell,SDF cone rays,9.0,2562,0.0,0.95,0.95,0.953,1.039,1.33
1.0,Ellipsoidal shell,EDT boundary sum,9.0,2562,0.0,0.584,0.584,0.621,1.0,0.13
1.0,Tapered LV-like shell,Laplace field,8.5,2562,0.0,0.132,0.288,0.352,0.661,0.35
1.0,Tapered LV-like shell,Yezzi-Prince,8.5,2562,0.0,0.61,0.61,0.639,0.94,0.96
1.0,Tapered LV-like shell,SDF cone rays,8.5,2562,0.0,0.766,0.766,0.776,0.913,1.29
1.0,Tapered LV-like shell,EDT boundary sum,8.5,2562,0.0,0.559,0.559,0.595,0.912,0.12
0.75,Concentric sphere,Laplace field,8.0,2562,0.0,0.088,0.218,0.273,0.531,0.42
0.75,Concentric sphere,Yezzi-Prince,8.0,2562,0.0,0.424,0.424,0.443,0.656,1.33
0.75,Concentric sphere,SDF cone rays,8.0,2562,0.0,0.835,0.835,0.835,0.839,1.56
0.75,Concentric sphere,EDT boundary sum,8.0,2562,0.0,0.39,0.39,0.414,0.598,0.18
0.75,Concentric cylinder,Laplace field,7.0,192,0.0,1.996,1.996,2.03,2.562,0.17
0.75,Concentric cylinder,Yezzi-Prince,7.0,192,0.0,1.47,1.47,1.482,1.776,1.74
0.75,Concentric cylinder,SDF cone rays,7.0,192,0.0,1.305,1.305,1.313,1.487,0.08
0.75,Concentric cylinder,EDT boundary sum,7.0,192,0.0,0.767,0.767,0.784,0.975,0.19
0.75,Ellipsoidal shell,Laplace field,9.0,2562,0.0,0.101,0.211,0.264,0.469,0.51
0.75,Ellipsoidal shell,Yezzi-Prince,9.0,2562,0.0,0.454,0.454,0.474,0.713,2.64
0.75,Ellipsoidal shell,SDF cone rays,9.0,2562,0.0,0.95,0.95,0.953,1.039,1.31
0.75,Ellipsoidal shell,EDT boundary sum,9.0,2562,0.0,0.407,0.407,0.434,0.71,0.32
0.75,Tapered LV-like shell,Laplace field,8.5,2562,0.0,0.085,0.212,0.262,0.504,0.51
0.75,Tapered LV-like shell,Yezzi-Prince,8.5,2562,0.0,0.441,0.441,0.464,0.704,2.93
0.75,Tapered LV-like shell,SDF cone rays,8.5,2562,0.0,0.766,0.766,0.776,0.913,1.27
0.75,Tapered LV-like shell,EDT boundary sum,8.5,2562,0.0,0.386,0.386,0.413,0.636,0.32
