method,id,name,n,meanMm,p95Mm
1. KD-tree,1,Basal Anterior,2519,5.60933780670166,6.749995231628418
1. KD-tree,2,Basal Anteroseptal,2650,5.082826614379883,6.545318126678467
1. KD-tree,3,Basal Inferoseptal,2624,4.439274311065674,6.096580505371094
1. KD-tree,4,Basal Inferior,2666,4.670278072357178,5.936045169830322
1. KD-tree,5,Basal Inferolateral,2410,4.56847620010376,5.6653361320495605
1. KD-tree,6,Basal Anterolateral,1886,4.7178874015808105,6.187972068786621
1. KD-tree,7,Mid Anterior,2084,5.29202938079834,6.78225564956665
1. KD-tree,8,Mid Anteroseptal,2003,5.214737415313721,6.705814361572266
1. KD-tree,9,Mid Inferoseptal,1729,5.347649574279785,6.652754783630371
1. KD-tree,10,Mid Inferior,2037,4.7827277183532715,5.64097261428833
1. KD-tree,11,Mid Inferolateral,2199,5.672537803649902,6.545897960662842
1. KD-tree,12,Mid Anterolateral,1669,5.2028961181640625,5.8201093673706055
1. KD-tree,13,Apical Anterior,1564,4.871258735656738,5.7328290939331055
1. KD-tree,14,Apical Septal,1348,4.488645076751709,5.433682441711426
1. KD-tree,15,Apical Inferior,1609,4.689208030700684,5.451632022857666
1. KD-tree,16,Apical Lateral,1507,4.784207820892334,5.443853855133057
1. KD-tree,17,Apex,5668,3.6322033405303955,4.676110744476318
2. Symmetric KD-tree,1,Basal Anterior,2519,5.449209690093994,6.685503005981445
2. Symmetric KD-tree,2,Basal Anteroseptal,2650,4.9452223777771,6.411255836486816
2. Symmetric KD-tree,3,Basal Inferoseptal,2624,4.202640533447266,5.9551849365234375
2. Symmetric KD-tree,4,Basal Inferior,2666,4.411046504974365,5.87894344329834
2. Symmetric KD-tree,5,Basal Inferolateral,2410,4.393655300140381,5.5981245040893555
2. Symmetric KD-tree,6,Basal Anterolateral,1886,4.525846481323242,6.134364128112793
2. Symmetric KD-tree,7,Mid Anterior,2084,5.232668399810791,6.728816509246826
2. Symmetric KD-tree,8,Mid Anteroseptal,2003,5.15474796295166,6.566530227661133
2. Symmetric KD-tree,9,Mid Inferoseptal,1729,5.266455173492432,6.358890533447266
2. Symmetric KD-tree,10,Mid Inferior,2037,4.742401123046875,5.595583915710449
2. Symmetric KD-tree,11,Mid Inferolateral,2199,5.608816146850586,6.420845031738281
2. Symmetric KD-tree,12,Mid Anterolateral,1669,5.15303373336792,5.757294178009033
2. Symmetric KD-tree,13,Apical Anterior,1564,4.801526069641113,5.667273044586182
