method,mean_mm,median_mm,p95_mm,mean_bias_mm,mean_bias_pct,p95_bias_mm,median_bias_mm,agreement_score,valid_fraction
7. Geodesic Dijkstra,5.19,5.195,8.311,0.743,16.71,-0.8,0.134,1.177,1.0
4. EDT boundary sum,4.243,4.284,6.571,-0.204,-4.59,-2.54,-0.777,1.668,1.0
2. Symmetric KD-tree,4.658,4.858,6.216,0.211,4.74,-2.895,-0.203,1.709,1.0
1. KD-tree,4.774,4.923,6.316,0.327,7.35,-2.795,-0.138,1.759,1.0
9. Regularized correspondence,4.774,4.921,6.3,0.327,7.35,-2.811,-0.14,1.768,1.0
3. Normal rays,5.237,5.173,6.878,0.79,17.76,-2.233,0.112,1.935,1.0
8. SDF cone rays,5.858,5.837,7.689,1.411,31.73,-1.422,0.776,2.316,1.0
10. Yezzi-Prince,6.587,6.925,9.945,2.14,48.12,0.834,1.864,3.023,1.0
5. EDT medial axis,2.815,2.641,4.156,-1.632,-36.7,-4.955,-2.42,4.715,1.0
6. Laplace field,8.603,8.432,14.336,4.156,93.46,5.225,3.371,7.611,1.0
