id,name,n,meanMm,p95Mm
1,Basal Anterior,2519,5.473986625671387,7.888690948486328
2,Basal Anteroseptal,2650,4.489904403686523,7.072793960571289
3,Basal Inferoseptal,2624,6.762611389160156,7.8125
4,Basal Inferior,2666,6.936140060424805,7.8125
5,Basal Inferolateral,2410,5.591259479522705,7.8125
6,Basal Anterolateral,1886,4.925485610961914,7.888690948486328
7,Mid Anterior,2084,5.936464309692383,7.888690948486328
8,Mid Anteroseptal,2003,5.47788667678833,6.3449811935424805
9,Mid Inferoseptal,1729,5.351467609405518,6.3449811935424805
10,Mid Inferior,2037,6.222641944885254,8.41431999206543
11,Mid Inferolateral,2199,7.685693264007568,9.960582733154297
12,Mid Anterolateral,1669,7.579890251159668,9.960582733154297
13,Apical Anterior,1564,6.334338188171387,6.442352771759033
14,Apical Septal,1348,5.7153191566467285,6.250998020172119
15,Apical Inferior,1609,7.894584655761719,9.960582733154297
16,Apical Lateral,1507,8.896450996398926,9.960582733154297
17,Apex,5668,7.0075836181640625,9.88211727142334
